BallotName
KATSCHKE, ADAM PAUL
LARSON, KEITH
KATSCHKE, NATHAN J.
WADSWORTH, SCOTT
CASSINELLI, JOHN S
HASTINGS, BOB
FIERRO, RAY
SHIRLEY, CHARLES W
STEVENS, JOHN M.
BITLER, KENNETH
LEWIS, ANGELA
MCCASSIE, DANIEL
ROBINSON, ARCHIE L
RODRIGUEZ, JAMIE
SHATTUCK, WILLIAM
DANKS, BOYD V
SEIDL, SUSAN
STEHWIEN, JEREMY
DUNHAM, SUSAN
FLYNN, SHERRY S.
MONIZ, AVIS
SHIRLEY, SHARON ANN
COEN, PATRICIA
DOW, MICHELLE
QUALLS, HUGH L.
SAMSON, SHERI
HAGEN, SCHYLER C.
LANCASTER, BARBARA
VIANI, TYLER
COEN, MICHAEL L.
JONES, EARL
MATTOX, SCOTT
WICHMAN, LORINDA
STODDARD, TERESA J.
EASON, KENNETH
CLIFFORD, CATHIE
LINK, RONI
LANCASTER SR., DAVID
LEDESMA, SAL
RICHES, AMY
SMALL, LAWRENCE "Larry"
DANN, GREG
DECANIO, LOUIE
DODD, ANTHENY "AJ"
HANSEN, MARK
MCDOUGAL, ROBERT
WHYTE, LINDA
IRWIN, PAT
RACKLEY, LARRY
ARNOLD, BRAD
BENDURE, TED P.
CHAMBERS, CHAD
LIST, JIM
LUSBY-ANGVICK, HEIDI E.
MACHADO, KEVIN E.
PILON, MARK
BRINKERHOFF, WALTER A.
CRIM Jr., JOE
GEDDES, JASON
Salcido, Victor
Vangogh, Richard
Bobzien, David
Dehne, Sam
Kumar, Sam
Lewis, James "Jim"
Conway, Cotter
O'Neill, Shelly
Sotelo, Henry
Woodman, Charles
Sferrazza, Pete
Sullivan, Ryan Katherine
Pearson, Scott E.
Clifton, David W.
Grein, Kenneth W.
Hacker, Lauren
Little-Bolotin, Kathleen
Marquez, Brock
Raymond, Malena
Reese, Emily
DeSilva, David
Holland, Katy Simon
Horn, Bill
Hudson, Greg
Lehmann, Helm
Mieras, Mike
Millerick, Michael J.
Milon, John "Jack"
Bailey, Kent
Brockelsby, Samantha "Sammy B"
Gansert, Heidi S.
Doenges, Colleen
Richardson, Dale
Jamison, Clint
King, Kime
Terhune, Jennifer
Tolles, Jill
Ledon, Carlos
Taylor, Angie
Ward, Paula
Guinasso, Jason
Khan, Adam
Lopez, Denise
Higgins, Kevin
Hartung, Vaughn
Washington, Maurice
Dent, Matthew
Horan, Philip
King, Steve
Longshore, Paul R.
Miller, Judy
Morris, Peter W.
Olmer, Robert J.
Thomason, Steven
Wright, Frank L.
COSTER, MIKE
WEEKS, JEFF
OLSON, ART
No
Yes
GIBBONS, MICHAEL
SILVER, ABBI
CASTLE, DARRELL
CLINTON, HILLARY
DE LA FUENTE, ROQUE "ROCKY"
JOHNSON, GARY
TRUMP, DONALD J.
REYNOLDS, STEVEN
WALKER, MICHAEL B.
HART, SUSAN
GREEDY, MICHAEL L.
WAGNER, JOHN
CARTER, DAVID W.
HICKEY, PAT
BONKOWSKI, BRAD
WHITE, MAURICE
BARRETTE, JOHN
SHIRK, JIM
HARDESTY, JIM
PARRAGUIRRE, RON D.
Everhart, John H.
KNIGHT, DREW
GUMINA, TONY
JONES, TOM
SAWYER, THOMAS "TOM"
WILLIAMS, JARROD M.
LAFRANCE, SARA
COCHRAN, WENDY "ROOSTER"
DINI, GEORGE R.
SMITH, JUSTIN
Thomas, Michael
Bachman, Shana
Baucum, Suzan
Bennett, Karen
Ross, Norm
Chan, Lesley
Ford, Aaron D.
Frazier, Jon
Bakari, Kamau A.
Buck, Carrie
Hagan, Tim
Goossen, David
Markowitz, Warren
Jordahl, Craig
Bethards, Stephanie Sue
Brunelle, David P.
Henry, Bruce
Knauss, Martin
Mackey, Gina M.
Maniaci, James "Jim"
McBride, Noreen Forristal
Ochs, Kathy
Watkins, Justin
Bateman, Sam
Davidson, Michael
Gruber, Harvey
Posin, Jeffrey
Zeller, Shane
Yeager, Steve
Bustamante Adams, Irene
Scheff, Howard
Swank, Heidi
Uehling, Edmund
Goicoechea, Pete
Hansen, Janine
Monroe-Moreno, Daniele
MARCIANO, LEN
Ter-Petrosyan, Arsen "Arsen T"
Brown, Steve
LITTLE, MIKE
Fawzy, Jennifer
Neal, Dina
Warren, Troy Ethan
Hammond, Scott T.
Marks, Alexander
Tew, Patrice
Newsome, Ronald
Thompson, Tyrone
Anderson, Travis
Ramaker, Sandra K.
Litman, Allan S.
Pereida, Arthur V.
Leavitt, Chad D.
Pulsipher, Billy H.
Lyttle, Sean D.
Cannizzaro, Nicole
Cornwell, Wesley
Flores, Edgar
Brown, Larry
Araujo, Jr., Nelson
Friedrich, Jonathan
Palmerston, Dennis
Shelton, Shelly M.
Osnaya, Anthony
Weekly, Jr., Lawrence
Maffatt, Carlo
Diaz, Olivia
Vaughan, Stan
Linton, Carol
Schjang, Kimberly
LEWIS, KATHY
PENZEL, BARRY
GREGORY, THOMAS W.
BORGZINNER, KIMBERLY
DRESSEL, FRANK
HARDIE, MIKE
LEE, TRAVIS K.
ROBBINS, DOUGLAS
GILKERSON, LINDA
LIPPMANN, LARRY
Wheeler, Jim
RADTKE, GLEN A.
SHORTEN, CHRISTOPHER
SOULIGNY, BILL
STEPHANS, JOHN
MILLER, RALPH L.
ROONEY, MICHAEL
ZERG, JOANNE
BREAUX, JOHN
FELTON, GREG
GRANT, ANN
SCHUSSEL, LARRY F.
BARNARD, ANN
BORSOS, RONALD
WESTERBECK, GREGG
DAHL, DEMAR
MARIN, PEDRO
SCHMIDTLEIN, ROBERT
SIMONS, MANDY
ZORNES, DAVID R.
BRIAN, BETSY
AYALA, MIKE
Ellison, John
HOLBROOK, DANA
JOHNSTON, MARGARET A.
JONES, KARLA M.
CARTER, EMILY
CORONA, DANIEL
ANDERSON, GERALD "JERRY"
FLORES, NICOLAS "NICK"
SNYDER, CASEY
RICH, SYLVIA
Hansen, Ira
KEYES, RALPH M.
GOICOECHEA, J.J.
SHARKOZY, MIKE
TIPTON, ROBERT "KEN"
FORTMANN, ERNEST
HOOD, JENNIFER
CASALEZ, JO ANN
MURPHY, JOEL
JACOBSEN, BARBARA
OLSON, BRENDA
STRINGHAM, CARRIE D.
MENDIOLA, VINCENT L.
UPSHAW, RORY L.
CARTER, CHRIS R.
HARDY, ELLEN "KATE"
ALLAN, JUDITH ANN
WINTLE, JAY
LANGER, MELVIN
DUVALL, GLEN ORAL
MORENO, MANUEL II
O'KANE, JENNIFER
CASSORLA, EARL
WALSH, CYNTHIA A.
HELMING, DON KIP
SMITH, STEPHEN L.
ELKINS, TAMERA LYNN
CARDOZA, CLAUDIO T.
HAINES, DONALD RICHARD
HIGBEE, VARLIN S.
DIXON, KEN
FOGLIANI, MIKE
MATHEWS, LEE ROB
WRIGHT, EDWARD E.
MORTENSEN, JOE
SANDERSON, JASON W.
DINI, DAVID JOHN
GIOMI HAWKEY, CHERYL
POPE, JEFF
ADREON, RONNIE
CLARKE, NANCY
CLEGG, WILLIAM B.
HOWELL, CHERYL A.
RIESEN, WILLIAM A.
VANHORN, JANN
CARR, STEVE
PICHA, STEVE
JOHNSON, RAY
ZIERENBERG, RICK
NEPPER, CHRISTOPHER
BRYANT, RICHARD D.
HEGG, CHRIS
MACBETH, PAUL
PRICE, GARTH D.
BOSTA, JOHN
MENDYK, DEBBERA L.
MINSHALL, PATRICIA J.
PITARRE, KEN
THOMAS, JIMMY
KULKIN, HARLEY ZANE
KAMINSKI, DON
SAIN, MIKE
SELEY, TOM
GENTRY, STARLIN
GILMAN, L. LANCE
SNELL, SHARON
CONLEY, COLLEEN
HUDDLESON, LARRY
COYNE-THOMPSON, KAREN
FIELD, MELISSA
MAYS, CONSTANCE
SULLIVAN, MARK
AUSTIN, ROSEMARIE "ROSIE"
KITTRELL, JAMES
Berkbigler, Marsha
Hooper, Levi
Delgado, Oscar
Holmes, Dorothy Nash
Riggs, Tammy M.
Joiner, Amber
Riger Sr., Jim
Jacobs, Brandon
Ratti, Julia
Benitez-Thompson, Teresa
Colborne, David
Smith, Allen "Eli"
Scott, Lauren A
Sprinkle, Michael
Elser, Allen
Evans, Carol Alice
Feemster, Debra
Stevens, Leonard "Len"
Daly, Richard "Skip"
Lee, Matt
Longley, Jessica
Rhoads, John
Dahir, Kristopher
Walter, John
Barstow, Joseph D.
Elliott, Garth T.
Ortiz, Carmen
Rider, Michael
Barlow, Bobbie
Carter, John
Conley, Judy L.
Gambrell, Elisabeth "Schatzi"
Hall, Cameron
MOTT, DANNY
Bremer, Denise A.
Costalupes, Jim
Herron, Susan A.
McKay, Greg
CHACHAS, GEORGE
STORK, STEVEN M.
LEWIS, RUSTY
MCCLINTOCK, RALPH
DERBIDGE, DALE L.
MARTIN, LESLIE
BREWSTER, TODD
ROBISON, WADE
KERNER, MARY
TRASK, JESSICA
KOYLE, DENYS M.
Hansen, Joel F.
Giomi, Stacey
WOOD, JOHN
BEST, RUSSELL
BUNDY, RYAN
LORD, JARED
LUIS, KRISTIN
RUSSELL, RYAN
UEHLING, ED
ARAUJO, NELSON
FURLONG, KENNY
HOULE, LORNE R.
Zemke, Autumn
BYRNE, CATHERINE
Knecht, Ron
Davis-Hersey, Tina
HOGE, BILL
HARTER, MATHEW
STIGLICH, LIDIA
MICHAELS, BARRY
MONDHINK-FELTON, DENISE L.
OLSEN, PETE
HESSEY, TASHA
MALLORY, ART
RICHARDS, MIKE
TROTTER, BENJAMIN D.
HUTCHINGS, THOMAS
LATTIN, CHRISTY
SMITH, GARY L.
SPENCER, MICHAEL
TUCKER, LARRY
GETTO JR., ROBERT M.
CANNON, CURTIS W.
SETTELMEYER, JAMES ARNOLD
McClain, Gina
Goya, Lynn Maria
Conway, Debbie
Jones, Tierra
Bailus, Mark B.
Holthus, Mary Kay
JONES, DAVID M.
DaCosta, Victoria Kay
Telles, Robert
Peetris, Tina M.
Garfield, Dan
Strawder, Robert
Eisner, Gil
Vickers, Harry L.
Cochran, Jack "Fat Jack"
Preta, Ralph
HARDY, JOE
Ross, Jordan
Hofstein, Daniel
Wade, Paris
Bronstein, Richard "Rick"
Silberkraus, Stephen H.
Rogers, Gary P.
Pitts, Joe
Taylor, Kenny
HAMPE, STEVE
Martin, Robert D.
Miller, Victor Lee
Romanov, Lesia
Luckner, Gregg
Markowitz, Warren Ross
McGonigle, Dean
Frei, Leon S.
Fletcher, Richard
Martinez, Mary Elizabeth Boyer
Lystrup, Bob
Little, Patricia "Pat"
Gault, George H.
Burrows, John
DAVIS, BEN K.
Walker, Jere A.
Jensen, Josh
CAVAZOS, LINDA
Scalia, Ryan
Laub, Erik L.
DODENBIER, DARRYLL B.
Haviland, Brian Douglas
Border, Calvin "Cal"
DENIS, MO
Sedlmeyer, Stephen G.
Torres, Selena
McCurdy, II, William O'Neil
Miceli, Gianna
McDonald, Michael L.
GIBSON, Jim
Marsh, Doug
Gilbert, Paul E.
Kandel, Kristi Lynn
ELLISON, KAREN
Jackson, Mark B.
Jones, Cassandra G.
Levin, Erik
Cwalina, Paul
Newlon, Brad
Sheridan, John
Spellberg, Robert
Teter, Leann M.
King, Mike
Schilling, Mary
Thran, Ted
Wilson, Ray
Hampton, Aaron
Henningsen, Michael
Miller, Kenneth
Slater, Linda L.
Trute, Brian
Clark-Ross, Kathryn
Eisele, Bill
Garcia, Robert M.
Bernard, Matt
Driscoll, Bill
Koontz, Richard Sr.
Souligny, William R. "Bill"
Stangle, Roxanne
Fagen, Charles "Chuck"
Fertala, Keith E.
Harris, Hunter
Ruschmeyer, Carl N.
Kirschner, William "Bill"
Norman, Dan
Parks, Sandra "Sandy"
Vogt, Darya
RUSSELL, KATRINKA S.
JAKEMAN, KRISTINE "KRIS"
PAUL, CHERYL
ANDREOZZI, DELMO
EKLUND, CLIFF
SMALES, D. MIKE
INGRAM, TYLER
HANCE, BILL
LIKER, TONY
SECRIST, JEANNA
SMITH, RO
STONE, CHIP
KEENER, REECE
LOGSDEN, MARCEY
CHIESA, ANTOINETTE
SIMONS, MASON EDWARD
PHILLIPS, STACIE
ZEISZLER, BRIAN
WINES, CANDACE
NARVAIZA, AITOR
PITTS, JIM
KINNEY, CAMERON
ESPARZA, SABRA
EVENSON, WAYNE A.
GRISWOLD, PATRICIA "PAM"
LITCHFIELD, LINCOLN
HOLBROOK, DANA DON
GOOLSBY, JONATHAN
PACE, MICHAEL K.
WOOLSEY, ROBERT
WALZ, LAYLA
DURHAM, JEFF R.
DURHAM, KATHY
GUTIERREZ, ISMAEL "IZZY" 
HANSON, JOHN B.
HOLM, JASIE
CARTER, JARED F.
RODRIGUEZ, GERARDO
LEE, RUTH P.
BOYER, VERA
HUBER-BETH, PATRICIA "PATTY"
ELGAN, LaCinda "CINDY"
HIPP, TIMOTHY
GLENNEN, ROBERT E. III
POVILAITIS, PAULA
BOSZAK, WENDY
MEARS, MICHAEL A.
PEARCE, AMANDA JEAN
MCKAY, RICH
CONLEY, BEVERLY
BEUTEL, THEODORE "TED"
ROWLEY, DOROTHY
SHARKOZY, MELYNDA
BAUMANN, DARLA R.
Horky, Gary
Mavity, Theresa
Billingsley, Jim
Bryant, Fredrick
Stone, Rich
JOHNSON, WILLIAM "JEFF"
Spero, Tami Rae
Cerri, Ronald L.
French, Jim
Engstrom, Deborah
Lecumberry, Rhona
MACDONALD, MICHAEL
Hunt, Gene
Douglas, Bill
Entwistle, Christopher R.
Loveless, Jim
Morgan, Matt
DUVALL, LURA
Miller, Leann
SULLIVAN, SADIE
Clark, Art III
Dimitroff, Harry L. Sr.
Bisiaux, Tina Marie
Johnson, Jusdivia
Gandolfo, Billy
Holt, Mark
Lloyd, Lisa
Brackenbury, Jared
Hibble, Ron
Phillips, Kevin J.
Elmer, Amy Nicole
McCleary, Bob
Frehner, Shawn
Hansen, Carol J.
Harr, Carolyn
Lee, Kerry D.
Schimbeck, Evan W.
Childers, Jeff
Cowley, Mike D.
Villines, Troy R.
Hunewill, Greg
Cullen, Brenda K.
Rye, Stephen B.
Kassebaum, Douglas "Doug"
Smith, Cary "Rick"
Aveiro, Cassandra
Jones, Barbara Jean
Kennedy, Charles "Chuck"
McIntosh, Kathy
Norris, Alicia
Chisum, Kevin B.
Guss, Michael
Williams, Norman E.
Oberhansli, Donna
Rowe, Sean Alden
CICHOWLAZ, BETH
Adams, Randy
Perry, Earl William
ALBERTI, ANDY
STRINGER, SHEREE
MERLINO, SANDRA "SAM"
WINN, SHEILA
BEATTY, DEBORAH
NOYES, MICHAEL S.
SCHAUS, LANCE ROY
DEL VECCHIO, NICHOLAS ANTHONY
CARLYLE, HORACE H.
KOSCIK, TIMAREE
ZIMMERMAN, JUSTIN B.
HASTINGS, SEAN C.
YAZZIE, TAWNA
GOLDSTEIN, RICHARD
DONALDSON, LACEY
BERGE, KRISTY
CHILDS, RENE M.
SHIELDS, R. BRYCE
KEARNS, JEFFREY
SEDDON, JANA
STEPHENS, VANESSA
Barde, Nicole
CHAPMAN, JEN
Nevin, Jeffrey M.
Toll, Sam
Evans, Hugh "Chip"
Parent, Nancy
Tudorache, Emil
Burtness, Lawrence
Work, Kalie
Buehler, Matthew R.
Davis, Tammi
Hicks, Chris
Drakulich, Kathleen M.
Bushur, Aaron
Grossman, Dixie
Walker, Egan
Breslow, Barry
CAVALLO, DON
Prothro, Verita Black
Hall, Karl S.
KADLIC, JOHN J.
Young, Charlene Y.
Shorts, Gregory J.
Johnson, Bill
Herman, Jeanne
Bein, Richard
Comer, Bruce
Horton, Hud
Unsworth, Robert
ZUNINO, NANCY E.
Wolgast, Stephen
Joseph, June
Caudill, Andrew Benjamin
Feemster, Debra Smith
Dickman, Jill Ann
Ainsworth, Sandra
Dutra, Suzanne
Severt, Susan
Dennis, Greg
Johnson, Larry J.
Rhodes, Zachary
Keller, Hans R.
SINDELAR, MARTHA RIVERA
BAKARIC, CATHERINE
Wheable, Michael A.
Adams, Amy
Willes, Cade H.
Henriod, Scott
Sawyer, Ray
Skye, Ericson
