BallotName
D'AYR, GABRIELLE "BRIE"
HORSFORD, STEVEN A.
BLUNDO, LEO
BLAND, ELIZABETH
HAFER, TRISHA
JOHNSON, TRINIE
MELENDREZ, J. PAUL
KIRBY, WILLIAM C
AMODEI, MARK E
BRISSENDEN, MARLENE
GARRETT, BEN
HILL, JESSE J
BELL, DEBRA
BROOKS, PAIGE
HOSS, TOM
ROBERTSON, LEANNE
SAUERS, SHELBY
CASALEZ, JOANN
TROUT, LEWIS "LUIS"
UHLMANN, SABRINA
OWEN, VIRGINIA "JENNA"
SWENSEN, ABRAM D.
HARDY, HOPE E.
WAITS, PATSY A.
ALLAN, JUDIE A.
FREEMAN, KATHLEEN "KATHY"
SCHMIDT, AMBER
THOMAS, WALLACE "JR"
VILLANUEVA, MANUEL JR.
VALDOVINOS, ELIZABETH
MCMAHON, LINDA L.
SAM, MARLA J.
FARR, LYLE
MATHEUS, JAMES R.
MILLS, DOUG
D’AYR, GABRIELLE “BRIE”
HAFEN II, GREGORY T.
KELLEY, PAT
ROWE, PEGGY A.
GLADWILL, GARY G.
GRAY, KEN
JACOBSON, ROBERT
THOMAS, DAVID
HOCKADAY, DAVID
ORTEGA, RICKY
THOMPSON, CLIFFORD
PARSONS, SHERRY
COWEE, PHILIP
VILLINES, HOLLY
CRABTREE, KIMBER L. A.
CHRISTENSEN, JAMES
GIOMI, DEBORAH A.
HITCHCOCK, GERALD
WEIR-COOLEY, RONNIE
PRICE, JUDY
BLOCK, RAY
HON, PAT
MCCASSIE, DAN
MURPHY, PAUL
RIESEN, WILLIAM
RODRIGUEZ, JAY
DE ST. MAURICE, L. MICHELLE
WHEELER, HARRY J.
PARSONS, DONALD
SEVERA, SHELLIE T.
ZOBERSKI, FELICITY
MCKAY, FRANCES "FRAN"
WARD, CHRIS
RODRIGUEZ, AUGGIE
FLYNN, SHERRY
PEREZ, BRIDGET
BRUCATO, GEORGE J
RICHARDSON, VINCENT L
DIEDE, JUANITA
VIANI, TYLER J
CASTAGNOLA, KATHRYN
DOLBY, TREVOR
DUTTON, LIANDRA
GAMBLE, TIM
GARDNER, RICHARD "DICK"
JABBOUR, BRUCE J.
STODDARD, TERESA
CARBONE, FRANK
KOENIG, JOHN
BAKER, LOUIS "LOUIE" JAMES
COX, DONNA C.
O'DONNELL, DEANNA
WEHRLY, JOHN
COMPTON, AARON
HAMPTON, OREN E.
HANSEN, MARK D.
PETERSON, LIESE S.
HUDSON, SHAYLA
SKELTON, DAVID
MANCEBO, MICHAEL
SHIELDS, MELISSA V.
MCBRIDE, MARSHALL
MITCHELL, CLAY
NASHOLD, LEE
HILTON, PHILLIP A.
SIMONS, ANNE
HAMES, GARY
CONLEY, CASEY
THOMPSON, TOM
SCHIFFMAN, STEVE “PRAGMATIC”
DOLLINGER, PAIGE
SHANNON, GREG
WHITE, LANCE CLARK
RODRIGUEZ, ESTHER C
BAKER, TOM
CHESNEY, LARRY
CURRIVAN, JAMES
GUGICH, DANIEL
HELTON, CHRISTOPHER
OTTO, DONALD
PATTERSON, JOHN
BACLET, JEFF
EPPOLITO, JOHN
NICOLET, DIANE
WESNER, CRAIG
WHITE, PAUL D
CONNER, DALE M
KRASNER, LISA
CHURCH, JEFF
GENASCI, LISA
HEINEMANN, JACK
HUERSTEL, TERESE
KELLEY, SCOTT
ARRASCADA, JOSEPH
DISS, ANDREW
LOMBARDI, VINCE
MCKENDRICKS, JOHN
MELCHER, KEVIN
BERK, STAN
MARQUEZ, MICHAEL "BROCK"
THIGPEN, KURT
LORTON, GEORGE "EDDIE"
MOSKOWITZ, JOE
REESE, DEVON THOMAS
WALKER, MICHAEL
BREKHUS, JENNY
DRAKULICH, JOHN "JD"
GRIFFITH, BRITTON ANNE
LOYD, SENA
MORGAN, DEREK RAY
SCAFFIDI, SHERRIE PAULIE
O'NEILL, PHILIP "PK"
WILLIAMS, DAY ROBERT
ANDERSON, NATHA C
MOSER, LEA "ARCHULETA"
DICKMAN, JILL
ESPINOSA, DAVID
LINARES, SANDRA
FINK, DARLA
GOTTSCHALK, KURT
JARDON, NEOMA
WILHELM, LEE "CHEF"
ABBOTT, DONALD
GRIMES, KRISTINE
KIRTLEY, DICK
STOLYAROV, WENDY
ANDERSON, PAUL S
DIAZ, ELVIRA
NESS, DAN
SMITH, QUENTIN
TAVENER, ANDREA
ALLRED, JAMES
BYBEE, SHANE A.
DISHONG, JOHNATHAN
CARSON, LAURIE L.
SOUTHWORTH, DON
BALCH, LACEY
HOWE, RICHARD
BORGHOFF, TERRI
MCVICARS, ANGIE
NICHOLES, SHELLA
CAMPEAU, CANDICE
MCKENZIE, CAROL
OLSON, ART M.
BECKWITH, SID
WHITTAKER, TONY
Dawley, David A.
Ford, Aaron
MacKie, Stuart J.
Duncan, Wes
Mueller, Craig
Bagwell, Lori
Rowlatt, Aubrey
Woodbury, Jason D.
Bonaventura, John
Dewan, Asheesh
Giunchigliani, Christina "Chris G"
Jones, David E.
Sisolak, Steve
Thorns, Henry
Boyd, William "Bill"
Carlisle, Stephanie
Conquest, Frederick L.
Dundas, Edward F.
Fisher, Jared L.
Laxalt, Adam Paul
Lusak, Stan
Armstrong, Tom
Hansen, Laurie L.
Marshall, Kate
Hoover, Eugene
Jones, Brent A.
LaFata, Scott Anthony
Meyers, Gary Anthony
Roberson, Michael
Ramirez, Lupe
WILKE-MCCULLOCH, STACIE
Varner, Richard
Carine, Donald
Aldridge, Ernest C.
Cegavske, Barbara K.
Kieckhefer, Ben
Schmidt, Gary R.
Beers, Bob
Uehara, Derek
Aberasturi, Leon
Cadish, Elissa
Lefebvre, Alan J.
Rutledge, John
Tao, Jerry
Robertson, Gayle
Alm, Vance
FOGARTY, PATRICK
SCHOFIELD JR., JACK L.
ANGLE, SHARRON
Burleigh, Danny
Knight, David Drew
Mahendra, Sujeet "Bobby"
Rosen, Jacky
Sbaih, Jesse
Brooks, Sherry
Gazala, Sarah
Harrell, Vic
Heck, Tom
Heller, Dean
Del Carlo, Carol
BUCKMASTER, FREDERICK D.
GETTO, AMBER N.
HENDRIX, CLAY
HYDE, MATT
JULIAN, PATTY
LINGENFELTER, JAY
MARTELL, DANTE A.
MCDONALD, TEDD
PARMENTER, BOBBY J.
SCHANK, CARMEN
SMOTHERMAN, DEBY
WIERSMA JR., RICHARD HARRY
BARRENCHEA, CORINE "RINNIE"
ROTHERY, LINDA
CHRISTIE, WALTER H. "BUTCH"
EAST, RAY
HICKOX, RICHARD C.
JONES, JARED
MOSER, JOHN
Bedwell, Tim
Caldwell, Matt
Heiny, Gregory S.
LOMBARDO, JOE
Martines, Gordon
Johnson, Briana
MacFarlane, Jill
Moore, John
Paretts, Jayson
FITZPATRICK, LAURA
O'SULLIVAN, KEN "Sully"
Collins, Phil
Quilang, Ron Q.
Langford, Robert L.
WOLFSON, STEVE
Ginn, Vincent "Vinny"
Graham, Elana Lee
Leavitt, James Dean
ANDRESS-TOBIASSON, MELANIE
De La Garza, Melisa
Friedberg, Craig B.
Rogan, Jeff
SCISCENTO, JOSEPH S.
DUSTIN-CRUZ, CYNTHIA
ZIMMERMAN, ANN E.
Fougere, Thomas L.
Manfredi, Aaron
Frierson, Jason
Ballinger, Mary E.
Eady, Eileen
Ford, Danielle
Gardner, David
Miller, Kali Fox
Musemici, Tammi N.
Thomas, Mike
Trumbull, Jacquelyn
