Name	NumberElected	Office	PrimaryParty
NV Senate District 13 (Democratic Party)	1	NV Senate District 13	Democratic Party
NV Senate District 14 (Democratic Party)	1	NV Senate District 14	Democratic Party
NV Senate District 15 (Democratic Party)	1	NV Senate District 15	Democratic Party
NV Senate District 16 (Democratic Party)	1	NV Senate District 16	Democratic Party
NV Senate District 17 (Democratic Party)	1	NV Senate District 17	Democratic Party
NV Senate District 18 (Democratic Party)	1	NV Senate District 18	Democratic Party
NV Senate District 19 (Democratic Party)	1	NV Senate District 19	Democratic Party
NV Senate District 20 (Democratic Party)	1	NV Senate District 20	Democratic Party
NV Senate District 21 (Democratic Party)	1	NV Senate District 21	Democratic Party
US House NV District 1 (Democratic Party)	1	US House NV District 1	Democratic Party
US House NV District 2 (Democratic Party)	1	US House NV District 2	Democratic Party
US House NV District 3 (Democratic Party)	1	US House NV District 3	Democratic Party
US House NV District 4 (Democratic Party)	1	US House NV District 4	Democratic Party
US President (NV) (Democratic Party)	1	US President (NV)	Democratic Party
NV Governor (Democratic Party)	1	NV Governor	Democratic Party
US Senate NV (Democratic Party)	1	US Senate NV	Democratic Party
NV Attorney General (Democratic Party)	1	NV Attorney General	Democratic Party
NV Lieutenant Governor (Democratic Party)	1	NV Lieutenant Governor	Democratic Party
NV State Treasurer (Democratic Party)	1	NV State Treasurer	Democratic Party
NV Secretary of State (Democratic Party)	1	NV Secretary of State	Democratic Party
NV State Controller (Democratic Party)	1	NV State Controller	Democratic Party
NV House District 1 (Republican Party)	1	NV House District 1	Republican Party
NV House District 2 (Republican Party)	1	NV House District 2	Republican Party
NV House District 3 (Republican Party)	1	NV House District 3	Republican Party
NV House District 4 (Republican Party)	1	NV House District 4	Republican Party
NV House District 5 (Republican Party)	1	NV House District 5	Republican Party
NV House District 6 (Republican Party)	1	NV House District 6	Republican Party
NV House District 7 (Republican Party)	1	NV House District 7	Republican Party
NV House District 8 (Republican Party)	1	NV House District 8	Republican Party
NV House District 9 (Republican Party)	1	NV House District 9	Republican Party
NV House District 10 (Republican Party)	1	NV House District 10	Republican Party
NV House District 11 (Republican Party)	1	NV House District 11	Republican Party
NV House District 12 (Republican Party)	1	NV House District 12	Republican Party
NV House District 13 (Republican Party)	1	NV House District 13	Republican Party
NV House District 14 (Republican Party)	1	NV House District 14	Republican Party
NV House District 15 (Republican Party)	1	NV House District 15	Republican Party
NV House District 16 (Republican Party)	1	NV House District 16	Republican Party
NV House District 17 (Republican Party)	1	NV House District 17	Republican Party
NV House District 18 (Republican Party)	1	NV House District 18	Republican Party
NV House District 19 (Republican Party)	1	NV House District 19	Republican Party
NV House District 20 (Republican Party)	1	NV House District 20	Republican Party
NV House District 21 (Republican Party)	1	NV House District 21	Republican Party
NV House District 22 (Republican Party)	1	NV House District 22	Republican Party
NV House District 23 (Republican Party)	1	NV House District 23	Republican Party
NV House District 24 (Republican Party)	1	NV House District 24	Republican Party
NV House District 25 (Republican Party)	1	NV House District 25	Republican Party
NV House District 26 (Republican Party)	1	NV House District 26	Republican Party
NV House District 27 (Republican Party)	1	NV House District 27	Republican Party
NV House District 28 (Republican Party)	1	NV House District 28	Republican Party
NV House District 29 (Republican Party)	1	NV House District 29	Republican Party
NV House District 30 (Republican Party)	1	NV House District 30	Republican Party
NV House District 31 (Republican Party)	1	NV House District 31	Republican Party
NV House District 32 (Republican Party)	1	NV House District 32	Republican Party
NV House District 33 (Republican Party)	1	NV House District 33	Republican Party
NV House District 34 (Republican Party)	1	NV House District 34	Republican Party
NV House District 35 (Republican Party)	1	NV House District 35	Republican Party
NV House District 36 (Republican Party)	1	NV House District 36	Republican Party
NV House District 37 (Republican Party)	1	NV House District 37	Republican Party
NV House District 38 (Republican Party)	1	NV House District 38	Republican Party
NV House District 39 (Republican Party)	1	NV House District 39	Republican Party
NV House District 40 (Republican Party)	1	NV House District 40	Republican Party
NV House District 41 (Republican Party)	1	NV House District 41	Republican Party
NV House District 42 (Republican Party)	1	NV House District 42	Republican Party
NV Senate District 1 (Republican Party)	1	NV Senate District 1	Republican Party
NV Senate District 2 (Republican Party)	1	NV Senate District 2	Republican Party
NV Senate District 3 (Republican Party)	1	NV Senate District 3	Republican Party
NV Senate District 4 (Republican Party)	1	NV Senate District 4	Republican Party
NV Senate District 5 (Republican Party)	1	NV Senate District 5	Republican Party
NV Senate District 6 (Republican Party)	1	NV Senate District 6	Republican Party
NV Senate District 7 (Republican Party)	1	NV Senate District 7	Republican Party
NV Senate District 8 (Republican Party)	1	NV Senate District 8	Republican Party
NV Senate District 9 (Republican Party)	1	NV Senate District 9	Republican Party
NV Senate District 10 (Republican Party)	1	NV Senate District 10	Republican Party
NV Senate District 11 (Republican Party)	1	NV Senate District 11	Republican Party
NV Senate District 12 (Republican Party)	1	NV Senate District 12	Republican Party
NV Senate District 13 (Republican Party)	1	NV Senate District 13	Republican Party
NV Senate District 14 (Republican Party)	1	NV Senate District 14	Republican Party
NV Senate District 15 (Republican Party)	1	NV Senate District 15	Republican Party
NV Senate District 16 (Republican Party)	1	NV Senate District 16	Republican Party
NV Senate District 17 (Republican Party)	1	NV Senate District 17	Republican Party
NV Senate District 18 (Republican Party)	1	NV Senate District 18	Republican Party
NV Senate District 19 (Republican Party)	1	NV Senate District 19	Republican Party
NV Senate District 20 (Republican Party)	1	NV Senate District 20	Republican Party
NV Senate District 21 (Republican Party)	1	NV Senate District 21	Republican Party
US House NV District 1 (Republican Party)	1	US House NV District 1	Republican Party
US House NV District 2 (Republican Party)	1	US House NV District 2	Republican Party
US House NV District 3 (Republican Party)	1	US House NV District 3	Republican Party
US House NV District 4 (Republican Party)	1	US House NV District 4	Republican Party
US President (NV) (Republican Party)	1	US President (NV)	Republican Party
NV Governor (Republican Party)	1	NV Governor	Republican Party
US Senate NV (Republican Party)	1	US Senate NV	Republican Party
NV Attorney General (Republican Party)	1	NV Attorney General	Republican Party
NV Lieutenant Governor (Republican Party)	1	NV Lieutenant Governor	Republican Party
NV State Treasurer (Republican Party)	1	NV State Treasurer	Republican Party
NV Secretary of State (Republican Party)	1	NV Secretary of State	Republican Party
NV State Controller (Republican Party)	1	NV State Controller	Republican Party
NV House District 1 (Green Party)	1	NV House District 1	Green Party
NV House District 2 (Green Party)	1	NV House District 2	Green Party
NV House District 3 (Green Party)	1	NV House District 3	Green Party
NV House District 4 (Green Party)	1	NV House District 4	Green Party
NV House District 5 (Green Party)	1	NV House District 5	Green Party
NV House District 6 (Green Party)	1	NV House District 6	Green Party
NV House District 7 (Green Party)	1	NV House District 7	Green Party
NV House District 8 (Green Party)	1	NV House District 8	Green Party
NV House District 9 (Green Party)	1	NV House District 9	Green Party
NV House District 10 (Green Party)	1	NV House District 10	Green Party
NV House District 11 (Green Party)	1	NV House District 11	Green Party
NV House District 12 (Green Party)	1	NV House District 12	Green Party
